%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
%%%%%%%%%%%%%%%%%%%%scale%%%%%%%%%%%%%%%%%%%%
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
scale
0.016666666666666666
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
%%%%%%%%%%%%%%%%lines/stations%%%%%%%%%%%%%%%
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
mode:line:station name:position x:position y
underground:ligne 1:1:13.0:0.0
underground:ligne 1:2:9.19238815542512:9.192388155425117
underground:ligne 1:3:7.960204194457795e-16:13.0
underground:ligne 1:4:-9.192388155425117:9.19238815542512
underground:ligne 1:5:-13.0:1.592040838891559e-15
underground:ligne 1:6:-9.19238815542512:-9.192388155425117
underground:ligne 1:7:-2.3880612583373385e-15:-13.0
underground:ligne 1:8:9.192388155425117:-9.19238815542512
underground:ligne 1:1:13.0:0.0
underground:ligne 2:9:27.0:0.0
underground:ligne 2:10:19.091883092036785:19.09188309203678
underground:ligne 2:11:1.6532731788489269e-15:27.0
underground:ligne 2:12:-19.09188309203678:19.091883092036785
underground:ligne 2:13:-27.0:3.3065463576978537e-15
underground:ligne 2:14:-19.091883092036788:-19.09188309203678
underground:ligne 2:15:-4.95981953654678e-15:-27.0
underground:ligne 2:16:19.09188309203678:-19.091883092036788
underground:ligne 2:9:27.0:0.0
underground:ligne 3:17:40.0:0.0
underground:ligne 3:18:28.284271247461902:28.2842712474619
underground:ligne 3:19:2.4492935982947065e-15:40.0
underground:ligne 3:20:-28.2842712474619:28.284271247461902
underground:ligne 3:21:-40.0:4.898587196589413e-15
underground:ligne 3:22:-28.28427124746191:-28.2842712474619
underground:ligne 3:23:-7.347880794884118e-15:-40.0
underground:ligne 3:24:28.2842712474619:-28.28427124746191
underground:ligne 3:17:40.0:0.0
underground:ligne 4:21:-40.0:0.0
underground:ligne 4:13:-26.666666666666664:0.0
underground:ligne 4:5:-13.333333333333332:0.0
underground:ligne 4:0:0.0:0.0
underground:ligne 4:1:13.333333333333336:0.0
underground:ligne 4:9:26.66666666666667:0.0
underground:ligne 4:17:40.0:0.0
underground:ligne 5:22:-28.0:-28.0
underground:ligne 5:14:-18.666666666666664:-18.666666666666664
underground:ligne 5:6:-9.333333333333332:-9.333333333333332
underground:ligne 5:0:0.0:0.0
underground:ligne 5:2:9.333333333333336:9.333333333333336
underground:ligne 5:10:18.666666666666664:18.666666666666664
underground:ligne 5:18:28.0:28.0
underground:ligne 6:23:0.0:-40.0
underground:ligne 6:15:0.0:-26.666666666666664
underground:ligne 6:7:0.0:-13.333333333333332
underground:ligne 6:0:0.0:0.0
underground:ligne 6:3:0.0:13.333333333333336
underground:ligne 6:11:0.0:26.66666666666667
underground:ligne 6:19:0.0:40.0
underground:ligne 7:24:28.0:-28.0
underground:ligne 7:16:18.666666666666664:-18.666666666666664
underground:ligne 7:8:9.333333333333332:-9.333333333333332
underground:ligne 7:0:0.0:0.0
underground:ligne 7:4:-9.333333333333336:9.333333333333336
underground:ligne 7:12:-18.666666666666664:18.666666666666664
underground:ligne 7:20:-28.0:28.0
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
%%%%%%%%%%%%%%special connections%%%%%%%%%%%%
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
line 1:station name 1:line 2:station name 2
ligne 2:13:ligne 1:4
ligne 2:13:ligne 7:4
ligne 4:13:ligne 1:4
ligne 4:13:ligne 7:4
